\begin{table}[h!]
\centering
\begin{tabular}{rcccccc}
\toprule
$t$ &
$\Re\,\psi(1)$ &
$\Im\,\psi(1)$ &
$\|\psi\|$ &
$\Re\,\phi(2)$ &
$\Im\,\phi(2)$ &
$\|\phi\|$ \\
\midrule
-1102.3132 & 1.0000000 & 0.0000000 & 1.0000000 & 0.0000000 & 1.4733146(-4) & 0.6074294 \\
-1080.2669 & 1.0000000 & -1.5299150(-5) & 1.0000000 & 9.0161878(-8) & 1.4733146(-4) & 2.9977570 \\
-1058.2207 & 1.0000000 & -3.0598299(-5) & 1.0000000 & 1.8032375(-7) & 1.4733145(-4) & 4.2519438 \\
\multicolumn{7}{c}{$\cdots$} \\
  -22.0463 & -4.6878735(-7) & 1.1266426(-6) & 1.0000000 & -3.4864304(-3) & -2.0577179(-3) & 0.7712524 \\
   -0.0000 & 4.8643339(-1) & -9.9881227(-1) & 1.0000000 & -1.3514523 & -8.0617898(-4) & 3.3039060 \\
   22.0463 & 2.8495297(-7) & 1.2366110(-6) & 1.0000000 & -3.7992762(-3) & 1.3930728(-3) & 4.2371529 \\
\multicolumn{7}{c}{$\cdots$} \\
 1058.2207 & -9.9526450(-1) & -9.7202282(-2) & 1.0000000 & 1.5396368(-5) & -1.4659389(-4) & 1.1029687 \\
 1080.2669 & -9.9526599(-1) & -9.7187055(-2) & 1.0000000 & 1.5389349(-5) & -1.4659255(-4) & 3.5763755 \\
 1102.3132 & -9.9526748(-1) & -9.7171829(-2) & 1.0000000 & 1.5382713(-5) & -1.4659538(-4) & 4.1762517 \\
\bottomrule
\end{tabular}
\end{table}
